source_label	method	source_kegg	source_pdf_page	source_text
glycerol_early	HILIC	C00116	23	glycerol_early                       HILIC   ko00561|Glycerolipid metabolism                          C00116       1   1
glycine	HILIC	C00037	23	glycine                              HILIC   ko00260|Glycine, serine and threonine metabolism         C00037       1   1
guanidinoacetate	HILIC	C00581	23	guanidinoacetate                     HILIC   ko00260|Glycine, serine and threonine metabolism         C00581       1   1
histamine	HILIC	C00388	23	histamine                            HILIC   ko00340|Histidine metabolism                             C00388
histidine	HILIC	C00135	23	histidine                            HILIC   ko00340|Histidine metabolism                             C00135
homocysteine	HILIC	C00155	23	homocysteine                         HILIC   ko00270|Cysteine and methionine metabolism               C00155       1   1
homoserine	HILIC	C00263	23	homoserine                           HILIC   ko00260|Glycine, serine and threonine metabolism         C00263       1   1
isoleucine	HILIC	C00407	23	isoleucine                           HILIC   ko00280|Valine, leucine and isoleucine degradation       C00407       1   1
kynurenate	HILIC	C01717	23	kynurenate                           HILIC   ko00380|Tryptophan metabolism                            C01717       1
leucine	HILIC	C00123	23	leucine                              HILIC   ko00280|Valine, leucine and isoleucine degradation       C00123       1   1
lysine	HILIC	C00047	23	lysine                               HILIC   ko00310|Lysine degradation                               C00047       1   1
metanephrine	HILIC	C05588	23	metanephrine                         HILIC   ko00350|Tyrosine metabolism                              C05588
methionine	HILIC	C00073	23	methionine                           HILIC   ko00270|Cysteine and methionine metabolism               C00073       1   1
methyl beta-hydroxyisobutyrate	HILIC	C00141	23	methyl beta-hydroxyisobutyrate       HILIC   ko00280|Valine, leucine and isoleucine degradation       C00141
N-carbamoyl-beta-alanine	HILIC	C02642	23	N-carbamoyl-beta-alanine             HILIC   ko00240|Pyrimidine metabolism                            C02642       1   1
niacinamide	HILIC	C00153	23	niacinamide                          HILIC   ko00760|Nicotinate and nicotinamide metabolism           C00153       1   1
N-monomethylarginine	HILIC	C03884	23	N-monomethylarginine                 HILIC   NA                                                       C03884       1   1
ornithine	HILIC	C00077	24	ornithine                    HILIC   ko00330|Arginine and proline metabolism              C00077   1   1
phenylalanine	HILIC	C00079	24	phenylalanine                HILIC   ko00360|Phenylalanine metabolism                     C00079   1   1
phosphocholine	HILIC	C00588	24	phosphocholine               HILIC   ko00564|Glycerophospholipid metabolism               C00588   1   1
phosphoethanolamine	HILIC	C00346	24	phosphoethanolamine          HILIC   ko00564|Glycerophospholipid metabolism               C00346   1   1
proline	HILIC	C00148	24	proline                      HILIC   ko00330|Arginine and proline metabolism              C00148   1   1
pyridoxine	HILIC	C00314	24	pyridoxine                   HILIC   ko00750|Vitamin B6 metabolism                        C00314
serine	HILIC	C00065	24	serine                       HILIC   ko00260|Glycine, serine and threonine metabolism     C00065   1   1
serotonin	HILIC	C00780	24	serotonin                    HILIC   ko00380|Tryptophan metabolism                        C00780   1   1
spermidine	HILIC	C00315	24	spermidine                   HILIC   ko00330|Arginine and proline metabolism              C00315   1   1
spermine	HILIC	C00750	24	spermine                     HILIC   ko00330|Arginine and proline metabolism              C00750   1   1
symmetric dimethylarginine	HILIC	NA	24	symmetric dimethylarginine   HILIC   NA                                                    NA
taurine	HILIC	C00245	24	taurine                      HILIC   ko00120|Primary bile acid biosynthesis               C00245   1   1
thiamine	HILIC	C00378	24	thiamine                     HILIC   ko00730|Thiamine metabolism                          C00378   1   1
threonine	HILIC	C00188	24	threonine                    HILIC   ko00260|Glycine, serine and threonine metabolism     C00188   1   1
thymidine	HILIC	C00214	24	thymidine                    HILIC   ko00240|Pyrimidine metabolism                        C00214   1   1
thyroxine	HILIC	C01829	24	thyroxine                    HILIC   ko00350|Tyrosine metabolism                          C01829   1   1
triiodothyronine	HILIC	C02465	24	triiodothyronine             HILIC   ko00350|Tyrosine metabolism                          C02465   1   1
trimethylamine-N-oxide	HILIC	C01104	24	trimethylamine-N-oxide       HILIC   ko00680|Methane metabolism                           C01104   1
tryptophan	HILIC	C00078	24	tryptophan                   HILIC   ko00380|Tryptophan metabolism                        C00078   1   1
tyramine	HILIC	C00483	24	tyramine                     HILIC   ko00350|Tyrosine metabolism                          C00483
tyrosine	HILIC	C00082	24	tyrosine                     HILIC   ko00350|Tyrosine metabolism                          C00082   1   1
valine	HILIC	C00183	24	valine                       HILIC   ko00280|Valine, leucine and isoleucine degradation   C00183   1   1
xanthosine	HILIC	C01762	24	xanthosine                   HILIC   ko00230|Purine metabolism                            C01762   1   1
2-aminoadipate	IPR	C00956	24	2-aminoadipate                IPR    ko00310|Lysine degradation                           C00956   1   1
2-phosphoglycerate	IPR	C00631	24	2-phosphoglycerate            IPR    ko00010|Glycolysis / Gluconeogenesis                 C00631   1   1
3-OH-kynurenate	IPR	C03227	24	3-OH-kynurenate               IPR    ko00380|Tryptophan metabolism                        C03227   1   1
3-phosphoglycerate	IPR	C00197	24	3-phosphoglycerate            IPR    ko00010|Glycolysis / Gluconeogenesis                 C00197   1   1
4-hydroxybenzoate	IPR	C00156	24	4-hydroxybenzoate             IPR    ko00360|Phenylalanine metabolism                     C00156   1   1
4-pyridoxate	IPR	C00847	24	4-pyridoxate                  IPR    ko00750|Vitamin B6 metabolism                        C00847   1   1
