arm	exchange_id	profiles	B0_low	B0_high	B0_width	B0_shared	B1_mean_width	B1_max_width	B1_location_spread	B1_exploration	B1_all_fixed	B1_constant_across_profiles	B2_mean_width	B2_max_width	B2_location_spread	B2_exploration	B2_all_fixed	B2_constant_across_profiles
ordinal	EX_glu__L_e	11	-10.0	65.07460134290554	75.07460134290554	True	5.024328502336382e-07	5.6476475762679e-07	4.427812960727806e-08	5.897884080001484e-10	True	True	1.0422628093920139e-08	2.3376415470011125e-08	1.1136741306927433e-08	1.4834233026506565e-10	True	True
ordinal	EX_gly_e	11	-10.0	136.67340860229442	146.67340860229442	True	1.0193662701334977e-05	7.726632369831066e-05	3.805909583221023e-05	2.594819074220034e-07	False	False	2.2146085175801422e-07	1.382011891593038e-06	6.882779697292563e-07	4.692588631355292e-09	True	True
ordinal	EX_glyald_e	11	0.0	58.40513229375357	58.40513229375357	True	5.9456848088074544e-08	6.144499400572628e-08	2.5791629358300596e-09	4.415986805505278e-11	True	True	1.2890419230185754e-09	2.9871064324683554e-09	1.4250967677939e-09	2.4400197582401747e-11	True	True
ordinal	EX_glyc3p_e	11	0.0	6.071678091942406	6.071678091942406	True	2.6915338590111157e-08	2.861408719297504e-08	1.426879046292352e-09	2.3500571418401325e-10	True	True	5.821666761591967e-10	1.3762208593470885e-09	6.599138515395042e-10	1.0868722642184568e-10	True	True
ordinal	EX_hom__L_e	11	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	0.0	0.0	0.0	nan	True	True
ordinal	EX_hxan_e	11	0.0	9.75111349148557	9.75111349148557	True	8.737596019115051e-09	9.456666562488606e-09	6.410394874738815e-10	6.574013193812391e-11	True	True	2.041551382937539e-10	4.358650360920249e-10	2.083136649914366e-10	2.1363064348838817e-11	True	True
ordinal	EX_icit_e	11	0.0	62.31950881136539	62.31950881136539	True	6.332466251775693e-07	1.17045541850745e-06	3.696904562991969e-07	5.932178596243611e-09	True	True	1.2530086463060498e-08	2.734882016689716e-08	1.2619049721794551e-08	2.0248955684151957e-10	True	True
ordinal	EX_ins_e	11	0.0	7.422489374115851	7.422489374115851	True	6.324426339899541e-09	6.7855440978798995e-09	4.2514177065355857e-10	5.727751825905449e-11	True	True	1.428875072657898e-10	3.440687106605785e-10	1.6528885305883338e-10	2.226865472320359e-11	True	True
ordinal	EX_lac__L_e	11	-1.0	108.03961591890892	109.03961591890892	True	3.034724171787931e-05	0.00018636302517549552	6.012164170119137	0.05513742981807906	False	False	9.566362162225708e-07	3.672178063851561e-06	6.012257645412163	0.05513828707800462	True	False
ordinal	EX_leu__L_e	11	-10.0	-1.7922337326704607	8.20776626732954	True	3.9752808465828595e-06	7.184126586734507e-06	2.6909088883808607e-06	3.2784911274725773e-07	True	True	9.153060333908704e-08	2.4103196039071406e-07	1.1799652499533408e-07	1.4376204335278321e-08	True	True
