scenario	context	arm_a	arm_b	relative_l1_full_vector	relative_l1_panel_exchanges	reactions_differing	panel_exchanges_differing	max_abs_difference_full	max_abs_difference_panel
half_serum	CNS:SF-539	magnitude_g1.25	magnitude_g2.00	0.018151970261683935	0.0019324923125064494	52	2	1.1906543992705896	0.061732612237576194
half_serum	CNS:SF-539	magnitude_g1.25	ordinal	0.5499302060306435	0.3334971947370003	186	10	11.815685697139555	9.678271553738098
half_serum	CNS:SF-539	magnitude_g2.00	ordinal	0.5493311592832321	0.3354165476378934	189	11	11.753953084902175	9.740004165975494
half_serum	CNS:SNB-19	magnitude_g0.50	magnitude_g0.80	0.11980191204579639	0.12518387633439484	111	8	3.3325156557261733	3.3325156557261195
half_serum	CNS:SNB-19	magnitude_g0.50	magnitude_g1.00	0.1818332172830569	0.12647407128720498	132	9	5.420638441601792	4.046775687223576
half_serum	CNS:SNB-19	magnitude_g0.50	magnitude_g1.25	0.21128235275281412	0.14061495876587896	135	9	6.210413044508323	4.400167475379675
half_serum	CNS:SNB-19	magnitude_g0.50	magnitude_g2.00	0.2414551039084204	0.17122722215258285	146	9	7.4618811933249605	4.559204637300658
half_serum	CNS:SNB-19	magnitude_g0.50	ordinal	0.680437141075991	0.4932612394239245	211	11	18.58717095067351	10.373003292302796
half_serum	CNS:SNB-19	magnitude_g0.80	magnitude_g1.00	0.14812646976247093	0.07760908928916174	99	6	7.645766707030383	1.711795115781789
half_serum	CNS:SNB-19	magnitude_g0.80	magnitude_g1.25	0.1699983268708814	0.08331200509718746	92	6	8.435541309936914	1.8507333723104282
half_serum	CNS:SNB-19	magnitude_g0.80	magnitude_g2.00	0.1908903519696426	0.09620854818021973	102	6	8.435541309936914	2.2960374256894043
half_serum	CNS:SNB-19	magnitude_g0.80	ordinal	0.6918754615472471	0.5463716330529393	190	9	18.36946365213124	13.705518948028915
half_serum	CNS:SNB-19	magnitude_g1.00	magnitude_g1.25	0.0380449992171283	0.020437367370090376	75	7	1.3463471285528303	0.35339178815609884
half_serum	CNS:SNB-19	magnitude_g1.00	magnitude_g2.00	0.0890474125386629	0.05163996144285298	95	7	3.47030821179291	0.8901807198085514
half_serum	CNS:SNB-19	magnitude_g1.00	ordinal	0.6853385513054973	0.5708992376045715	197	10	16.007713044384264	14.419778979526372
half_serum	CNS:SNB-19	magnitude_g1.25	magnitude_g2.00	0.05909564693792484	0.03324714942638681	87	6	2.3603108892282982	0.669864526011696
half_serum	CNS:SNB-19	magnitude_g1.25	ordinal	0.6824718723312694	0.57474971608577	194	9	15.173170767682471	14.77317076768247
half_serum	CNS:SNB-19	magnitude_g2.00	ordinal	0.6773329546095843	0.5549779508301814	200	9	15.408705991321845	14.932207929603454
half_serum	CNS:SNB-75	magnitude_g0.50	magnitude_g0.80	0.1179915463018815	0.09149430516808701	101	7	3.9010316001503536	2.449780058689555
half_serum	CNS:SNB-75	magnitude_g0.50	magnitude_g1.00	0.08782168129775926	0.02899429505629827	127	9	3.0141881076128865	0.7503856487248566
half_serum	CNS:SNB-75	magnitude_g0.50	magnitude_g1.25	0.1601637332251153	0.10136740685954418	139	10	3.3525233453117997	1.563222471361243
half_serum	CNS:SNB-75	magnitude_g0.50	magnitude_g2.00	0.26498155064238627	0.2579290933146665	142	11	6.949114001868149	4.548937170430875
half_serum	CNS:SNB-75	magnitude_g0.50	ordinal	0.6723238072263449	0.3615767557166625	218	12	17.377817474665402	10.71746714925962
half_serum	CNS:SNB-75	magnitude_g0.80	magnitude_g1.00	0.11774532645825608	0.07485441469933138	102	9	3.839026516083434	2.139652439762863
half_serum	CNS:SNB-75	magnitude_g0.80	magnitude_g1.25	0.1892456776261045	0.0980539451457468	125	9	4.468436381145398	1.694740544248182
half_serum	CNS:SNB-75	magnitude_g0.80	magnitude_g2.00	0.23562724953833422	0.1890740228091836	130	10	6.949114001868149	3.367229286129647
half_serum	CNS:SNB-75	magnitude_g0.80	ordinal	0.7352093002323532	0.4266439710283407	216	11	18.824184968289348	13.167247207949176
half_serum	CNS:SNB-75	magnitude_g1.00	magnitude_g1.25	0.10375800835677368	0.0731335976086739	115	9	3.0606339301926235	1.1582732567445646
half_serum	CNS:SNB-75	magnitude_g1.00	magnitude_g2.00	0.22774525902565979	0.23040099622873655	121	10	7.686061122858438	3.7985515217060186
half_serum	CNS:SNB-75	magnitude_g1.00	ordinal	0.7041130869432632	0.3732663844202574	225	11	17.9798656040529	11.467852797984477
half_serum	CNS:SNB-75	magnitude_g1.25	magnitude_g2.00	0.13790200008784567	0.15765742427420684	100	9	4.625427192665814	2.985714699069632
half_serum	CNS:SNB-75	magnitude_g1.25	ordinal	0.7097745533170434	0.4013688309499549	228	10	17.846705756188776	12.280689620620864
half_serum	CNS:SNB-75	magnitude_g2.00	ordinal	0.7358947723847303	0.5060220849239071	228	10	16.50637068929912	15.266404319690496
